,pubchem id,common name,flavor profile
2014,7359,2-Ethylbutanal,"{'cocoa', 'sweet', 'ethereal', 'fruity', 'green'}"
2015,7360,Tetrahydrofurfuryl Alcohol,"{'vegetable', 'cauliflower', 'faint', 'warm', 'oily', 'caramel'}"
2016,7361,Furfuryl Alcohol,"{'chemical', 'sweet', 'coffee', 'burnt', 'bread', 'alcoholic', 'musty', 'caramel', 'bitter'}"
2017,7362,2-Furaldehyde,"{'sweet', 'bread', 'almond', 'fragrant', 'baked', 'woody'}"
2018,7409,1-Phenylethanol,"{'acetophenone', 'hyacinth', 'gardenia', 'sweet', 'fresh'}"
2019,7410,Acetophenone,"{'acacia', 'mimosa', 'sweet', 'pungent', 'chemical', 'hawthorne', 'flower', 'almond', 'hawthorn', 'must', 'bitter'}"
2020,7438,Carveol,"{'fresh', 'caraway', 'spearmint', 'minty'}"
2021,7439,Carvone,"{'mint', 'licorice', 'fennel', 'basil', 'minty'}"
2022,7456,Methyl 4-hydroxybenzoate,{'odorless'}
2023,7460,Alpha-Phellandrene,"{'terpene', 'herbal', 'turpentine', 'mint', 'spice', 'peppery', 'woody', 'green', 'citrus'}"
2024,7461,Gamma-Terpinene,"{'terpene', 'herbal', 'turpentine', 'gasoline', 'lemon', 'tropical', 'woody', 'lime', 'oily', 'bitter'}"
2025,7462,Alpha-Terpinene,"{'terpene', 'herbal', 'citrus', 'lemon', 'medicinal', 'woody', 'camphoraceous', 'bitter'}"
2026,7463,P-Cymene,"{'terpene', 'solvent', 'gasoline', 'spice', 'fresh', 'woody', 'citrus'}"
2027,7469,4'-Hydroxyacetophenone,"{'mimosa', 'balsam', 'sweet', 'mild', 'hawthorn'}"
2028,7476,4'-Methoxyacetophenone,"{'acacia', 'butter', 'balsamic', 'sweet', 'powdery', 'anisic', 'vanilla', 'hawthorn', 'caramel', 'bitter'}"
2029,7501,Styrene,"{'plastic', 'gasoline', 'balsam', 'sweet', 'floral', 'balsamic'}"
2030,7519,Anisole,"{'butter', 'gasoline', 'cheese', 'anise', 'alcohol', 'ethereal', 'phenolic'}"
2031,7559,Methyl Phenylacetate,"{'sweet', 'waxy', 'honey', 'almond', 'spice', 'floral'}"
2032,7583,Diphenyl oxide,"{'phenolic', 'leaf', 'green', 'geranium'}"
2033,7590,Ethyl Phenylacetate,"{'fruit', 'melon', 'balsam', 'cocoa', 'sweet', 'rose', 'chocolate', 'anise', 'honey', 'grapefruit', 'raspberry', 'floral', 'bitter'}"
2034,7643,Methyl 3-phenylpropionate,"{'balsam', 'fruity', 'honey', 'wine', 'floral'}"
2035,7646,Benzyl isobutyrate,"{'jasmin', 'sweet', 'rose', 'tropical', 'fruity', 'jasmine', 'oily'}"
2036,7650,Benzyl butyrate,"{'berry', 'jasmin', 'butter', 'logenberry', 'cheese', 'fruity', 'pear', 'plum', 'apricot', 'jasmine', 'fresh', 'peach'}"
2037,7651,Benzyl isovalerate,"{'apple', 'herbal', 'sweet', 'fruity', 'pineapple'}"
2038,7654,Phenethyl acetate,"{'tobacco', 'sweet', 'rose', 'tropical', 'honey', 'fruity', 'floral'}"
2039,7658,Phenethyl butyrate,"{'yeast', 'strawberry', 'sweet', 'musty', 'floral'}"
2040,7664,103-61-7,{''}
2041,7695,4-Methoxybenzyl acetate,"{'cherry', 'balsam', 'tonka', 'sweet', 'powdery', 'coumarin', 'fruity', 'creamy', 'almond', 'vanilla', 'plum'}"
2042,7704,104-50-7,"{'coconut', 'tonka', 'fatty', 'sweet', 'waxy', 'creamy', 'dairy'}"
2043,7710,gamma-Nonanolactone,"{'coconut', 'buttery', 'sweet', 'waxy', 'creamy', 'peach', 'oily'}"
2044,7711,2-Phenylethyl formate,"{'herbal', 'watercress', 'hyacinth', 'rose', 'green', 'bitter'}"
2045,7714,Gamma-undecalactone,"{'coconut', 'ketonic', 'lactonic', 'fatty', 'fruity', 'creamy', 'apricot', 'peach'}"
2046,7720,2-Ethylhexan-1-ol,"{'sweet', 'rose', 'fresh', 'oily', 'floral', 'green', 'citrus'}"
2047,7749,Ethyl Propionate,"{'rum', 'grape', 'fruit', 'sweet', 'juicy', 'fruity', 'pineapple'}"
2048,7762,Ethyl Butyrate,"{'cognac', 'apple', 'fruit', 'juicy', 'fruity', 'pineapple', 'banana'}"
2049,7765,Acetal,"{'vegetable', 'ether', 'fruit', 'sweet', 'cream', 'tart', 'honey', 'nut', 'earthy', 'green'}"
2050,7770,Propyl butyrate,"{'rancid', 'solvent', 'sweet', 'fruity', 'pineapple', 'apricot', 'sweaty'}"
2051,7772,Isoamyl propionate,"{'fruit', 'ripe', 'tomato', 'sweet', 'tropical', 'fruity', 'pineapple', 'banana', 'bitter'}"
2052,7775,Isobutyl hexanoate,"{'sweet', 'tropical', 'fruity', 'pineapple', 'peach', 'green'}"
2053,7778,Citronellyl formate,"{'cucumber', 'bergamot', 'rose', 'honey', 'plum', 'apricot', 'peach'}"
2054,7794,Citronellal,"{'fat', 'herbal', 'cherry', 'sweet', 'rose', 'lemon', 'dry', 'floral', 'waxy', 'aldehydic', 'citrus'}"
2055,7795,Isoamyl butyrate,"{'melon', 'papaya', 'whiskey', 'fruity', 'hop_oil', 'pear', 'banana', 'apricot', 'tropica', 'green'}"
2056,7797,Ethyl Heptanoate,"{'rum', 'cognac', 'fruit', 'melon', 'fruity', 'pineapple', 'plum', 'wine'}"
2057,7799,Ethyl Octanoate,"{'brandy', 'fruit', 'fat', 'sweet', 'waxy', 'fruity', 'pear', 'banana', 'apricot', 'wine'}"
2058,7800,Ethyl dodecanoate,"{'soapy', 'sweet', 'clean', 'waxy', 'floral', 'leaf'}"
2059,7802,3-Heptanone,"{'powerful', 'fruity', 'fatty', 'green'}"
2060,7803,Propyl Propionate,"{'sharp', 'sweet', 'pungent', 'chemical', 'fruity', 'pineapple', 'bitter'}"
2061,7824,Methyl Hexanoate,"{'fruit', 'sweet', 'fruity', 'pineapple', 'fresh', 'ether'}"
2062,7826,Methyl Heptanoate,"{'berry', 'fruit', 'sweet', 'orris', 'waxy', 'floral', 'green'}"
2063,7847,Acrolein,"{'almond', 'cherry'}"
2064,7848,1-Propanethiol,"{'gassy', 'onion', 'sweet', 'natural', 'cabbage'}"
2065,7852,Propylamine,{'ammoniacal'}
2066,7858,Allyl Alcohol,"{'pungent', 'mustard'}"
2067,7894,Isoamylamine,"{'ammonia', 'unpleasant'}"
2068,7895,2-Pentanone,"{'fishy', 'fruit', 'sweet', 'alcohol', 'ethereal', 'fruity', 'potato', 'banana', 'wine', 'woody', 'ether'}"
2069,7909,4-Methyl-2-pentanone,"{'solvent', 'herbal', 'sharp', 'fruity', 'dairy', 'spice', 'green'}"
2070,7915,Isopropyl Acetate,"{'chemical', 'sweet', 'ethereal', 'fruity', 'banana'}"
2071,7921,gamma-Valerolactone,"{'herbal', 'tobacco', 'cocoa', 'sweet', 'warm', 'woody'}"
2072,7945,Ethyl Isovalerate,"{'apple', 'fruit', 'sweet', 'tutti frutti', 'fruity', 'pineapple'}"
2073,7976,2-Methylpyrazine,"{'cocoa', 'chocolate', 'roasted', 'popcorn', 'nutty', 'green', 'peanut'}"
2074,7981,Butyl Isovalerate,"{'apple', 'fruit', 'sweet', 'pear', 'pineapple', 'peach', 'green'}"
2075,7983,Butyl butyrate,"{'berry', 'apple', 'sweet', 'fruity', 'pineapple', 'banana', 'pear', 'peach'}"
2076,7991,Valeric acid,"{'rancid', 'sickening', 'putrid', 'acidic', 'sweat', 'animal', 'sweaty'}"
2077,7997,Propyl acetate,"{'solvent', 'fusel', 'celery', 'fruity', 'raspberry', 'pear', 'bitter'}"
2078,8007,Butylamine,"{'ammonia', 'fishy'}"
2079,8021,Diethylamine,"{'fishy', 'ammoniacal'}"
2080,8025,Ethyl Formate,"{'cognac', 'rose', 'pungent', 'alcohol', 'ethereal', 'green', 'bitter'}"
2081,8038,Isobutyl Acetate,"{'apple', 'fruit', 'sweet', 'tropical', 'ethereal', 'fruity', 'banana', 'bitter'}"
2082,8042,Isopropyl Myristate,"{'cinnamon', 'fatty', 'oily', 'faint'}"
2083,8048,Ethyl Decanoate,"{'brandy', 'apple', 'grape', 'sweet', 'waxy', 'fruity', 'pear', 'oily'}"
2084,8051,2-Heptanone,"{'coconut', 'herbal', 'sweet', 'fruity', 'spicy', 'cinnamon', 'woody', 'soap'}"
2085,8052,Isopentyl formate,"{'blackcurrant', 'fruit', 'dry', 'vinous', 'ethereal', 'earthy', 'plum', 'green'}"
2086,8060,Amylamine,"{'fishy', 'ammoniacal'}"
2087,8063,Pentanal,"{'berry', 'fermented', 'pungent', 'fruity', 'almond', 'bready', 'malt', 'nutty'}"
2088,8073,Propyl Formate,"{'rum', 'berry', 'sweet', 'ethereal', 'fruity', 'green', 'bitter'}"
2089,8082,Piperidine,"{'heavy', 'sweet', 'animal', 'floral', 'bitter'}"
2090,8091,Methyl octanoate,"{'vegetable', 'herbal', 'sweet', 'waxy', 'orange', 'aldehydic', 'green'}"
2091,8093,Octan-2-one,"{'weedy', 'herbal', 'gasoline', 'bitter', 'natural', 'earthy', 'woody', 'soap'}"
2092,8094,Heptanoic Acid,"{'rancid', 'sour', 'cheese', 'cheesy', 'sweat'}"
2093,8103,1-Hexanol,"{'fusel', 'sweet', 'flower', 'ethereal', 'fruity', 'alcoholic', 'oil', 'resin', 'green'}"
2094,8122,Ethyl Stearate,"{'waxy', 'mild'}"
2095,8129,1-Heptanol,"{'coconut', 'violet', 'herbal', 'strawberry', 'leafy', 'chemical', 'sweet', 'musty', 'peony', 'woody', 'green'}"
2096,8130,Heptanal,"{'rancid', 'ozone', 'fat', 'herbal', 'fatty', 'wine-lee', 'fresh', 'aldehydic', 'green', 'citrus'}"
2097,8139,Methyl Dodecanoate,"{'coconut', 'soapy', 'fat', 'waxy', 'creamy', 'mushroom'}"
2098,8158,Nonanoic Acid,"{'dirty', 'fat', 'cheese', 'green', 'waxy', 'cultured dairy'}"
2099,8159,Heptyl acetate,"{'rum', 'fruit', 'ripe', 'pear', 'apricot', 'fresh', 'woody', 'green'}"
2100,8163,2-Undecanone,"{'iris', 'fatty', 'orris', 'waxy', 'fruity', 'creamy', 'orange', 'fresh', 'floral', 'green'}"
2101,8164,Octyl acetate,"{'herbal', 'waxy', 'earthy', 'mushroom', 'green'}"
2102,8167,Decyl Acetate,"{'soapy', 'rose', 'clean', 'laundered cloths', 'waxy', 'pineapple', 'orange', 'oil', 'fresh', 'citrus'}"
2103,8174,1-Decanol,"{'fat', 'fatty', 'rose', 'sweet', 'clean', 'watery', 'waxy', 'orange', 'floral'}"
2104,8175,Decanal,"{'orange peel', 'sweet', 'floral', 'soap', 'waxy', 'tallow', 'aldehydic', 'citrus'}"
2105,8180,Undecanoic Acid,"{'coconut', 'cheese', 'fatty', 'waxy', 'creamy', 'oil'}"
2106,8182,Dodecane,{'alkane'}
2107,8184,1-Undecanol,"{'mandarin', 'soapy', 'clean clothes', 'rose', 'waxy', 'fresh', 'floral', 'citrus'}"
2108,8186,Undecanal,"{'soapy', 'laundry', 'fatty', 'sweet', 'pungent', 'floral', 'waxy', 'oil', 'fresh', 'aldehydic', 'green', 'citrus'}"
2109,8193,1-Dodecanol,"{'coconut', 'soapy', 'fat', 'fatty', 'waxy', 'honey', 'earthy', 'wax'}"
2110,8194,Dodecanal,"{'soapy', 'fat', 'floral', 'waxy', 'lily', 'aldehydic', 'green', 'citrus'}"
2111,8205,Dodecyl Acetate,"{'sweet', 'clean', 'laundered cloths', 'waxy', 'fresh'}"
2112,8222,Eicosane,"{'alkane', 'waxy'}"
2113,8257,2-Methyl-3-Buten-2-Ol,"{'herb', 'earthy', 'herbal', 'oily'}"
2114,8294,Linalyl Acetate,"{'fruit', 'citrus', 'bergamot', 'sweet', 'woody', 'green', 'lavender'}"
2115,8314,2-Methylbutanoic acid,"{'sour', 'strawberry', 'cheese', 'pungent', 'acid', 'sweat', 'roquefort cheese'}"
2116,8365,Ethyl salicylate,"{'balsam', 'mint', 'wintergreen', 'sweet', 'spicy', 'floral', 'minty'}"
2117,8375,2'-Hydroxyacetophenone,"{'herbal', 'tobacco', 'sweet', 'hawthorne', 'honey', 'phenolic', 'hawthorn'}"
2118,8432,1-Phenylethyl propionate,"{'weedy', 'sweet', 'gardenia', 'rose', 'fresh', 'floral', 'green'}"
2119,8438,Piperonal,"{'coconut', 'heliotrope', 'violet', 'sweet', 'powdery', 'flower', 'vanilla', 'bitter'}"
2120,8452,Cyclopentanone,{'minty'}
2121,8468,Vanillic acid,"{'sweet', 'powdery', 'bean', 'creamy', 'dairy', 'vanilla', 'milky'}"
2122,8499,Methyl 4-Methoxybenzoate,"{'herbal', 'melon', 'balsam', 'sweet', 'anise'}"
2123,8500,4'-Methylacetophenone,"{'acetophenone', 'mimosa', 'bitter almond', 'cherry', 'sweet', 'hawthorne', 'coumarin', 'hawthorn'}"
2124,8635,Methyl Anthranilate,"{'orange flower', 'grape', 'strawberry', 'lemon', 'flower', 'honey', 'grapefruit', 'fruity', 'neroli', 'medicinal', 'lime', 'bitter'}"
2125,8655,Syringaldehyde,"{'plastic', 'tonka', 'sweet', 'mild', 'woody'}"
2126,8698,Butyl Benzoate,"{'balsam', 'amber', 'mild', 'fruity', 'balsamic'}"
2127,8723,2-Methyl-1-Butanol,"{'onion', 'roasted', 'fruity', 'wine', 'malt'}"
2128,8748,Beta-Terpineol,"{'earthy', 'pungent', 'must', 'woody'}"
2129,8768,"3,4-Dihydroxybenzaldehyde","{'medical', 'almond', 'dry', 'bitter'}"
2130,8785,Benzyl Acetate,"{'apple', 'jasmin', 'cherry', 'sweet', 'fruity', 'apricot', 'plum', 'boiled vegetable', 'jasmine', 'fresh', 'floral', 'bitter'}"
2131,8815,Estragole,"{'herbal', 'licorice', 'sweet', 'anise', 'alcohol', 'sassafrass', 'spice', 'vanilla', 'fennel', 'green', 'minty'}"
2132,8821,Ethyl Acrylate,"{'harsh', 'fruity', 'plastic', 'acrylate'}"
2133,8835,Citronellyl butyrate,"{'fruit', 'geranium', 'sweet', 'rose', 'tropical', 'waxy', 'fruity', 'floral', 'green'}"
2134,8842,Citronellol,"{'rose bud', 'geranium', 'leather', 'citrus', 'rose', 'waxy', 'floral', 'bitter'}"
2135,8857,Ethyl Acetate,"{'weedy', 'balsam', 'sweet', 'anise', 'ethereal', 'fruity', 'pineapple', 'green'}"
2136,8858,Mesityl Oxide,"{'vegetable', 'chemical', 'acrylic', 'pungent', 'sweet', 'earthy'}"
2137,8868,ethyl acetoacetate,"{'apple', 'fatty', 'fruity', 'fresh', 'green'}"
2138,8892,Hexanoic Acid,"{'fatty', 'cheese', 'sweat', 'sour'}"
2139,8908,Hexyl acetate,"{'apple', 'fruit', 'sweet', 'herb', 'fruity', 'banana', 'green', 'bitter'}"
2140,8914,1-Nonanol,"{'fat', 'dusty', 'fatty', 'rose', 'clean', 'green', 'wet', 'orange', 'fresh', 'floral', 'oily', 'bitter'}"
2141,8918,Nonyl Acetate,"{'soapy', 'fruit', 'sweet', 'gardenia', 'clean', 'tropical', 'waxy', 'fruity', 'green', 'bitter'}"
2142,9016,"1,4-Dimethoxybenzene","{'sweet', 'fennel', 'new mown hay', 'green', 'bitter'}"
2143,9017,Citronellyl acetate,"{'fruit', 'lemon', 'rose', 'tropical', 'fruity', 'dust', 'woody', 'floral', 'green', 'citrus'}"
2144,9064,Cianidanol,{'bitter'}
2145,9261,Pyrazine,"{'hazelnut', 'pungent', 'roasted', 'barley', 'sweet corn'}"
2146,9862,6-Methyl-5-Hepten-2-One,"{'apple', 'citrus', 'hazelnut', 'lemongrass', 'rubber', 'pepper', 'mushroom', 'musty', 'nutty', 'green', 'bitter'}"
2147,9895,beta-Cyclocitral,"{'herbal', 'tobacco', 'saffron', 'damascone', 'mint', 'sweet', 'rose oxide', 'clean', 'tropical', 'fruity', 'minty'}"
2148,10106,"1,4-Cineole","{'terpene', 'pine', 'cooling', 'spice', 'camphor', 'green', 'minty'}"
2149,10282,Piperitol,"{'herb', 'herbal'}"
2150,10393,2-(4-Hydroxyphenyl)ethanol,"{'fruity', 'mild', 'sweet', 'floral'}"
2151,10402,Citronellic acid,"{'grassy', 'fatty', 'smoky', 'floral', 'green'}"
2152,10430,Isovaleric Acid,"{'rancid', 'sour', 'cheese', 'acid', 'tropical', 'stinky', 'sweat', 'animal', 'feet', 'sweaty'}"
2153,10448,3-methylthiopropanol,"{'vegetable', 'soup', 'onion', 'sweet', 'sulfurous', 'potato'}"
2154,10558,Isobutyl mercaptan,"{'vegetable', 'cooked', 'mustard'}"
2155,10582,Myrtenol,"{'medical', 'balsam', 'mint', 'sweet', 'pine', 'woody'}"
2156,10680,Flavone,{'bitter'}
2157,10795,"1,1-Dimethoxyethane","{'ether', 'sharp', 'sweet', 'alcohol', 'new mown hay', 'green'}"
2158,10797,2-Methylfuran,"{'ethereal', 'chocolate', 'acetone'}"
2159,10819,Perilla alcohol,"{'linalool', 'terpineol', 'fatty', 'green'}"
2160,10873,(Ethoxymethyl)benzene,"{'powerful', 'fruity', 'pineapple'}"
2161,10882,Ethyl pentanoate,"{'yeast', 'apple', 'fruit', 'sweet', 'tropical', 'fruity', 'pineapple', 'green'}"
2162,10883,Ethyl Levulinate,"{'berry', 'sweet', 'fruity', 'pineapple', 'rhubarb', 'floral', 'green'}"
2163,10885,Isobutyl butyrate,"{'rum', 'berry', 'apple', 'sweet', 'fruity', 'pineapple'}"
2164,10886,Pentyl Hexanoate,"{'estery', 'apple', 'fatty', 'sweet', 'fruity', 'pineapple', 'pear', 'green'}"
2165,10890,Pentyl Butyrate,"{'cherry', 'sweet', 'tropical', 'fruity', 'pineapple', 'banana'}"
2166,10895,Isobutyl propionate,"{'sweet', 'green', 'tutti frutti', 'fruity', 'banana', 'ether', 'bitter'}"
2167,10957,Isobutyl Formate,"{'fruity', 'sweet', 'ether', 'chemical'}"
2168,10976,2-Heptanol,"{'herbal', 'sweet', 'lemon', 'fruity', 'mushroom', 'grass', 'fresh', 'floral', 'green', 'bitter'}"
2169,11005,Tetradecanoic acid,"{'soapy', 'coconut', 'fatty', 'waxy'}"
2170,11006,Hexadecane,{'alkane'}
2171,11039,Methyl Isobutyrate,"{'apple', 'flower', 'fruity', 'pineapple', 'floral'}"
2172,11124,Methyl Propionate,"{'rum', 'apple', 'strawberry', 'fruity', 'harsh', 'fresh'}"
2173,11126,2-Methylthiophene,"{'alliaceous', 'onion', 'roasted', 'sulfurous', 'sulfur', 'green'}"
2174,11128,Linamarin,{'bitter'}
2175,11142,Beta-Phellandrene,"{'mint', 'terpentine'}"
2176,11160,Methyl isovalerate,"{'fruity', 'apple', 'pineapple', 'strong'}"
2177,11168,Methyl Thiocyanate,{'sulfur'}
2178,11173,3-Methyl-2-Buten-1-Ol,"{'herb', 'fruity', 'green', 'lavender'}"
2179,11176,Propyl Isovalerate,"{'fruity', 'sweet', 'apple', 'bitter'}"
2180,11230,Terpinen-4-ol,"{'turpentine', 'nutmeg', 'sweet', 'earth', 'pepper', 'musty', 'must', 'woody'}"
2181,11251,3-Methyl-2-Butanone,{'camphor'}
2182,11335,"2,6-Dimethylphenol","{'rooty', 'sweet', 'coffee', 'phenolic', 'medicinal'}"
2183,11449,"Octane-2,3-dione","{'broccoli', 'buttery', 'cooked', 'dill'}"
2184,11463,Terpinolene,"{'plastic', 'sweet', 'pine', 'fresh', 'woody', 'citrus'}"
2185,11508,3-Methyl-1-Pentanol,"{'cognac', 'fusel', 'cocoa', 'fruity', 'wine', 'green'}"
2186,11509,3-Hexanone,"{'rum', 'grape', 'sweet', 'waxy', 'fruity', 'ether'}"
2187,11514,Isobutyl Isovalerate,"{'apple', 'sweet', 'fruity', 'raspberry', 'banana', 'green'}"
2188,11520,3-Heptanol,"{'powerful', 'herb', 'herbal', 'bitter'}"
2189,11527,3-Octanol,"{'herbal', 'melon', 'citrus', 'nut', 'earthy', 'moss', 'mushroom', 'spicy', 'woody', 'minty'}"
2190,11529,Butyl propionate,"{'sweet', 'rose', 'weak', 'earthy', 'banana'}"
2191,11543,2-Methyl-2-Pentanol,{'pungent'}
2192,11552,3-Methylbutanal,"{'sour', 'fatty', 'chocolate', 'ethereal', 'peach', 'aldehydic', 'malt'}"
2193,11559,alpha-Angelica lactone,{''}
2194,11579,Levulinic Acid,"{'buttery', 'sweet', 'acidic', 'acetoin', 'caramel'}"
2195,11614,Butyl Formate,"{'brandy', 'rum', 'fruity', 'plum'}"
2196,11622,2-Tridecanone,"{'coconut', 'herbal', 'fatty', 'waxy', 'earthy', 'dairy', 'milky', 'nutty'}"
2197,11635,Octadecane,{'alkane'}
2198,11732,3-Methyl-2-Butanol,{'fruity'}
2199,11747,"2,3-Pentanedione","{'butter', 'cheese', 'sweet', 'pungent', 'cream', 'creamy', 'caramel', 'nutty'}"
2200,11902,Methyl 2-furoate,"{'tobacco', 'fungal', 'sweet', 'fruity', 'mushroom'}"
2201,12020,1-Penten-3-Ol,"{'vegetable', 'butter', 'pungent', 'tropical', 'fruity', 'horseradish', 'green', 'bitter'}"
2202,12097,5-Methylfurfural,"{'maple', 'burnt sugar', 'almond', 'spice', 'caramel'}"
2203,12170,Furfuryl acetate,"{'fruity', 'sweet', 'horseradish', 'banana'}"
2204,12178,3-Hexanol,"{'alcohol', 'medicinal', 'alcoholic', 'ether'}"
2205,12180,Methyl butyrate,"{'apple', 'fruit', 'sweet', 'fruity', 'pineapple', 'banana', 'ether'}"
2206,12206,Methyl Valerate,"{'apple', 'sweet', 'fruity', 'pineapple', 'green', 'nutty'}"
2207,12209,2-Methylbutyl Acetate,"{'fruit', 'overripe fruit', 'sweet', 'juicy', 'banana', 'peanut'}"
2208,12232,Dimethyl disulfide,"{'vegetable', 'wine_like', 'onion', 'fatty', 'putrid', 'sulfurous', 'cabbage', 'fruity', 'earthy', 'herbaceous', 'spicy', 'meaty', 'woody', 'nutty', 'floral', 'green', 'citrus'}"
2209,12257,Isopropyl Formate,"{'ethereal', 'solvent', 'cocoa', 'tropical'}"
2210,12278,2-Pentyl Acetate,"{'herbal', 'tropical'}"
2211,12293,Propyl Hexanoate,"{'fruit', 'sweet', 'tropical', 'juicy', 'fruity', 'pineapple', 'green'}"
2212,12294,Butyl hexanoate,"{'berry', 'fruit', 'fruity', 'pineapple', 'wine'}"
2213,12327,Ethyl Undecanoate,"{'coconut', 'cognac', 'soapy', 'fatty', 'waxy'}"
2214,12344,5-Methylhexanoic Acid,"{'fruity', 'fatty', 'oily', 'cheese'}"
2215,12348,Amyl acetate,"{'ethereal', 'fruity', 'banana'}"
2216,12366,Ethyl Palmitate,"{'balsam', 'waxy', 'mild', 'creamy', 'fruity', 'wax', 'milky'}"
2217,12367,2-Nonanol,"{'cucumber', 'cheese', 'waxy', 'fruity', 'creamy', 'orange', 'green', 'citrus'}"
2218,12388,Tridecane,{'alkane'}
2219,12389,Tetradecane,"{'alkane', 'mild', 'waxy'}"
2220,12391,Pentadecane,"{'alkane', 'waxy'}"
2221,12398,Heptadecane,{'alkane'}
2222,12401,Nonadecane,"{'alkane', 'bland'}"
2223,12403,Heneicosane,"{'alkane', 'waxy'}"
2224,12405,Docosane,"{'alkane', 'waxy'}"
2225,12508,Isopropyl Propionate,"{'sweet', 'fruity', 'pineapple', 'banana', 'ether', 'bitter'}"
2226,12529,Pentyl formate,"{'ethereal', 'fruity', 'earthy', 'powerful', 'unripe banana', 'green'}"
2227,12534,Tricosane,"{'alkane', 'waxy'}"
2228,12571,Propyl Isobutyrate,"{'berry', 'melon', 'ripe', 'sweet', 'tropical', 'fruity'}"
2229,12578,4'-Isopropylacetophenone,"{'spicy', 'woody', 'herbal'}"
2230,12587,4-Methylpentanoic Acid,"{'cheese', 'pungent'}"
2231,12613,Isoamyl Isovalerate,"{'mango', 'apple', 'ripe', 'sweet', 'tropical', 'fruity', 'jammy', 'green'}"
2232,12748,4-Methylthiazole,"{'vegetable', 'roasted meat', 'tomato', 'green', 'nutty'}"
2233,12756,gamma-Caprolactone,"{'coconut', 'herbal', 'tobacco', 'sweet', 'coumarin'}"
2234,12777,delta-Octanolactone,"{'coconut', 'tonka', 'fatty', 'sweet', 'tropical', 'dairy', 'peach'}"
2235,12810,Delta-Decalactone,"{'coconut', 'butter', 'sweet', 'fruity', 'creamy', 'dairy', 'plum', 'apricot', 'fresh', 'peach', 'oily'}"
2236,12813,gamma-Decalactone,"{'coconut', 'fat', 'buttery', 'fatty', 'sweet', 'strong', 'waxy', 'fruity', 'caramel', 'fresh', 'peach', 'oily'}"
2237,12844,Delta-Dodecalactone,"{'coconut', 'metallic', 'fruit', 'butter', 'buttery', 'sweet', 'cheese', 'creamy', 'fresh', 'peach', 'oily'}"
2238,13144,calcium lactate,{'odorless'}
2239,13187,2-Nonanone,"{'soapy', 'fishy', 'weedy', 'herbal', 'sweet', 'earthy', 'hot milk', 'fresh', 'green', 'soap'}"
2240,13204,delta-Hexalactone,"{'sweet', 'herbal'}"
2241,13357,Methyl 2-methylbutyrate,"{'apple', 'fatty', 'sweet', 'tutti frutti', 'fruity', 'green'}"
2242,13576,3-Decanone,"{'waxy', 'fruity', 'orange', 'floral', 'green', 'citrus'}"
2243,13654,Isopropyl Benzoate,"{'fruit', 'sweet', 'fruity', 'floral', 'balsamic'}"
2244,14079,2-Acetylpyrrole,"{'walnut', 'licorice', 'coumarin', 'bread', 'nut', 'musty', 'nutty'}"
2245,14228,Hexyl octanoate,"{'berry', 'apple', 'ester', 'waxy', 'fruity', 'herb', 'oil', 'green'}"
2246,14296,"2,3,5,6-Tetramethylpyrazine","{'cocoa', 'chocolate', 'coffee', 'burnt', 'lard', 'soybean', 'musty', 'nutty'}"
2247,14505,2-Acetylfuran,"{'tobacco', 'cocoa', 'balsam', 'sweet', 'balsamic', 'coffee', 'almond', 'potato', 'beef', 'caramel', 'peanut'}"
2248,14514,2-Acetyl-5-Methylfuran,"{'coconut', 'hay', 'strong', 'coumarin', 'musty', 'milky', 'nutty'}"
2249,14529,2-(4-methylphenyl)propan-2-ol,"{'cherry', 'sweet', 'coumarin', 'fruity', 'must', 'floral', 'camphor', 'citrus'}"
2250,14778,Calcium Oxide,{'odorless'}
2251,14896,Beta-Pinene,"{'hay', 'turpentine', 'resinous', 'dry', 'pine', 'woody', 'resin', 'green'}"
2252,15037,1-Furfurylpyrrole,"{'vegetable', 'plastic', 'coffee', 'waxy', 'fruity', 'green'}"
2253,15094,"7-methyl-4-methylidene-1-propan-2-yl-2,3,4a,5,6,8a-hexahydro-1H-naphthalene","{'herbal', 'wood', 'herb', 'spice', 'woody'}"
2254,15380,Bis(methylthio)methane,"{'cheese', 'sulfurous', 'spicy', 'mushroom', 'horseradish', 'garlic', 'sulfur', 'green'}"
2255,15394,Ethyl Vinyl Ketone,"{'mustard', 'onion', 'fish', 'pungent', 'garlic', 'peppery'}"
2256,15406,Fenchol,"{'sweet', 'lemon', 'dry', 'pine', 'borneol', 'woody', 'camphor', 'bitter'}"
2257,15448,2-Undecanol,"{'cotton', 'waxy', 'clean cloth', 'fresh', 'sarsaparilla'}"
2258,15606,Methyl Nonanoate,"{'coconut', 'sweet', 'tropical', 'waxy', 'fruity', 'pear', 'wine'}"
2259,15654,4-Methyl-5-Vinylthiazole,"{'vegetable', 'cocoa', 'musty', 'root', 'nutty'}"
2260,16237,Ethyl 3-phenylpropionate,"{'rum', 'hyacinth', 'rose', 'flower', 'fruity', 'honey'}"
2261,16255,Isopentyl octanoate,"{'coconut', 'soapy', 'sweet', 'fruity', 'pineapple', 'oily', 'green'}"
2262,16330,Butyl salicylate,"{'harsh', 'ethyl benzoate', 'clover'}"
2263,16441,Perillaldehyde,"{'grassy', 'herbal', 'fat', 'cherry', 'mint', 'fatty', 'sweet', 'cumin', 'spice', 'fresh', 'oily', 'green'}"
